referrer,views_total,views_unique
nature.com,28,8
Google,11,6
github.com,8,4
DuckDuckGo,4,1
paperswithcode.com,3,1
statics.teams.cdn.office.net,2,1
data.mendeley.com,2,1
imagej.net,1,1
facebook.com,1,1
