time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-01 00:00:00+00:00,21,8,1,1
2026-07-02 00:00:00+00:00,16,7,1,1
2026-07-03 00:00:00+00:00,3,3,0,0
2026-07-04 00:00:00+00:00,29,14,0,0
2026-07-05 00:00:00+00:00,1,1,1,1
2026-07-06 00:00:00+00:00,3,3,0,0
2026-07-07 00:00:00+00:00,34,10,0,0
2026-07-08 00:00:00+00:00,9,4,0,0
2026-07-09 00:00:00+00:00,2,2,0,0
2026-07-10 00:00:00+00:00,16,7,0,0
2026-07-11 00:00:00+00:00,13,7,0,0
2026-07-12 00:00:00+00:00,7,2,0,0
2026-07-13 00:00:00+00:00,2,2,0,0
2026-07-14 00:00:00+00:00,23,10,8,2
