referrer,views_total,views_unique
Google,128,14
github.com,98,7
nature.com,24,9
imagej.net,23,1
jiyuuchc.github.io,8,2
data.mendeley.com,5,2
chatgpt.com,4,2
notebooks.githubusercontent.com,1,1
Bing,1,1
ncbi.nlm.nih.gov,1,1
