time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,17,7,0,0
2026-04-10 00:00:00+00:00,11,11,1,1
2026-04-11 00:00:00+00:00,17,6,1,1
2026-04-12 00:00:00+00:00,18,8,0,0
2026-04-13 00:00:00+00:00,21,8,1,1
2026-04-14 00:00:00+00:00,30,8,4,2
2026-04-15 00:00:00+00:00,33,10,15,2
2026-04-16 00:00:00+00:00,12,5,0,0
2026-04-17 00:00:00+00:00,15,5,0,0
2026-04-18 00:00:00+00:00,40,15,0,0
2026-04-19 00:00:00+00:00,39,13,0,0
2026-04-20 00:00:00+00:00,44,17,0,0
2026-04-21 00:00:00+00:00,47,22,1,1
2026-04-22 00:00:00+00:00,78,29,0,0
