time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-22 00:00:00+00:00,2,2,8.0,5.0
2024-04-23 00:00:00+00:00,1,1,156.0,9.0
2024-04-24 00:00:00+00:00,5,2,3.0,3.0
2024-04-25 00:00:00+00:00,1,1,1.0,1.0
2024-04-26 00:00:00+00:00,1,1,98.0,3.0
2024-04-27 00:00:00+00:00,6,3,2.0,1.0
2024-04-28 00:00:00+00:00,1,1,,
2024-04-29 00:00:00+00:00,6,3,52.0,11.0
2024-04-30 00:00:00+00:00,1,1,5.0,2.0
2024-05-01 00:00:00+00:00,1,1,10.0,5.0
2024-05-02 00:00:00+00:00,1,1,76.0,8.0
2024-05-03 00:00:00+00:00,5,5,151.0,6.0
2024-05-04 00:00:00+00:00,6,3,,
2024-05-05 00:00:00+00:00,2,2,45.0,4.0
