time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-11 00:00:00+00:00,2,2,,
2023-04-12 00:00:00+00:00,1,1,4.0,2.0
2023-04-13 00:00:00+00:00,1,1,8.0,3.0
2023-04-14 00:00:00+00:00,3,2,12.0,2.0
2023-04-15 00:00:00+00:00,1,1,,
2023-04-16 00:00:00+00:00,1,1,4.0,2.0
2023-04-17 00:00:00+00:00,3,3,3.0,1.0
2023-04-18 00:00:00+00:00,1,1,3.0,1.0
2023-04-19 00:00:00+00:00,3,2,2.0,2.0
2023-04-20 00:00:00+00:00,3,2,5.0,3.0
2023-04-21 00:00:00+00:00,3,2,10.0,2.0
2023-04-22 00:00:00+00:00,3,2,2.0,1.0
2023-04-23 00:00:00+00:00,3,2,7.0,3.0
2023-04-24 00:00:00+00:00,1,1,4.0,4.0
