referrer,views_total,views_unique
github.com,106,6
Google,54,9
imagej.net,23,1
nature.com,19,11
paperswithcode.com,10,2
jiyuuchc.github.io,8,2
ncbi.nlm.nih.gov,2,2
data.mendeley.com,2,1
forum.image.sc,1,1
notebooks.githubusercontent.com,1,1
