time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-05 00:00:00+00:00,13,6,7,1
2026-04-06 00:00:00+00:00,13,5,0,0
2026-04-07 00:00:00+00:00,15,6,0,0
2026-04-08 00:00:00+00:00,6,4,1,1
2026-04-09 00:00:00+00:00,17,7,0,0
2026-04-10 00:00:00+00:00,11,11,1,1
2026-04-11 00:00:00+00:00,17,6,1,1
2026-04-12 00:00:00+00:00,18,8,0,0
2026-04-13 00:00:00+00:00,21,8,1,1
2026-04-14 00:00:00+00:00,30,8,4,2
2026-04-15 00:00:00+00:00,33,10,15,2
2026-04-16 00:00:00+00:00,12,5,0,0
2026-04-17 00:00:00+00:00,15,5,0,0
2026-04-18 00:00:00+00:00,40,15,0,0
