time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,14,5,0,0
2026-03-14 00:00:00+00:00,20,7,0,0
2026-03-15 00:00:00+00:00,24,11,0,0
2026-03-16 00:00:00+00:00,16,7,1,1
2026-03-17 00:00:00+00:00,6,2,0,0
2026-03-18 00:00:00+00:00,8,6,3,2
2026-03-19 00:00:00+00:00,8,3,0,0
2026-03-20 00:00:00+00:00,8,3,0,0
2026-03-21 00:00:00+00:00,9,4,28,2
2026-03-22 00:00:00+00:00,8,3,0,0
2026-03-23 00:00:00+00:00,21,13,17,1
2026-03-24 00:00:00+00:00,12,7,1,1
2026-03-25 00:00:00+00:00,12,11,0,0
2026-03-26 00:00:00+00:00,13,4,1,1
