time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-04 00:00:00+00:00,3.0,3.0,13.0,7.0
2024-10-05 00:00:00+00:00,1.0,1.0,,
2024-10-06 00:00:00+00:00,,,6.0,3.0
2024-10-07 00:00:00+00:00,3.0,2.0,31.0,4.0
2024-10-08 00:00:00+00:00,12.0,9.0,134.0,9.0
2024-10-09 00:00:00+00:00,7.0,5.0,59.0,5.0
2024-10-10 00:00:00+00:00,,,5.0,5.0
2024-10-11 00:00:00+00:00,,,1.0,1.0
2024-10-12 00:00:00+00:00,1.0,1.0,4.0,3.0
2024-10-13 00:00:00+00:00,,,1.0,1.0
2024-10-14 00:00:00+00:00,5.0,3.0,13.0,5.0
2024-10-15 00:00:00+00:00,8.0,4.0,13.0,5.0
2024-10-16 00:00:00+00:00,16.0,5.0,36.0,5.0
2024-10-17 00:00:00+00:00,15.0,5.0,38.0,8.0
