time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-20 00:00:00+00:00,1.0,1.0,9,3
2025-01-21 00:00:00+00:00,2.0,2.0,6,2
2025-01-22 00:00:00+00:00,,,2,2
2025-01-23 00:00:00+00:00,1.0,1.0,6,3
2025-01-24 00:00:00+00:00,2.0,1.0,18,4
2025-01-25 00:00:00+00:00,1.0,1.0,2,2
2025-01-26 00:00:00+00:00,1.0,1.0,2,1
2025-01-29 00:00:00+00:00,2.0,1.0,4,1
2025-01-30 00:00:00+00:00,11.0,6.0,8,3
2025-01-31 00:00:00+00:00,5.0,2.0,2,1
2025-02-01 00:00:00+00:00,5.0,3.0,2,2
2025-02-02 00:00:00+00:00,5.0,4.0,15,2
