time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-09 00:00:00+00:00,5.0,2.0,19,3
2025-08-10 00:00:00+00:00,4.0,4.0,13,3
2025-08-11 00:00:00+00:00,5.0,5.0,8,2
2025-08-12 00:00:00+00:00,5.0,5.0,61,2
2025-08-13 00:00:00+00:00,4.0,4.0,9,1
2025-08-14 00:00:00+00:00,4.0,4.0,32,6
2025-08-15 00:00:00+00:00,1.0,1.0,1,1
2025-08-16 00:00:00+00:00,3.0,3.0,2,1
2025-08-17 00:00:00+00:00,12.0,9.0,36,3
2025-08-18 00:00:00+00:00,8.0,2.0,3,3
2025-08-19 00:00:00+00:00,6.0,6.0,1,1
2025-08-20 00:00:00+00:00,5.0,5.0,1,1
2025-08-21 00:00:00+00:00,1.0,1.0,4,4
2025-08-22 00:00:00+00:00,,,2,1
