referrer,views_total,views_unique
github.com,134,6
Google,98,6
nature.com,31,14
notebooks.githubusercontent.com,31,1
paperswithcode.com,16,1
link.springer.com,12,3
colab.research.google.com,10,1
jiyuuchc.github.io,5,1
Bing,3,1
imagej.net,1,1
