time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-09 00:00:00+00:00,6,3,4.0,3.0
2025-05-10 00:00:00+00:00,5,2,12.0,5.0
2025-05-11 00:00:00+00:00,5,3,1.0,1.0
2025-05-12 00:00:00+00:00,1,1,10.0,4.0
2025-05-13 00:00:00+00:00,1,1,11.0,5.0
2025-05-14 00:00:00+00:00,1,1,4.0,3.0
2025-05-15 00:00:00+00:00,2,2,32.0,4.0
2025-05-16 00:00:00+00:00,1,1,1.0,1.0
2025-05-17 00:00:00+00:00,5,2,,
2025-05-18 00:00:00+00:00,5,2,2.0,1.0
2025-05-19 00:00:00+00:00,3,2,6.0,3.0
2025-05-20 00:00:00+00:00,3,2,12.0,4.0
2025-05-21 00:00:00+00:00,1,1,4.0,2.0
2025-05-22 00:00:00+00:00,7,5,73.0,8.0
