time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,39,13,0,0
2026-04-20 00:00:00+00:00,44,17,0,0
2026-04-21 00:00:00+00:00,47,22,1,1
2026-04-22 00:00:00+00:00,78,29,0,0
2026-04-23 00:00:00+00:00,83,25,0,0
2026-04-24 00:00:00+00:00,53,20,1,1
2026-04-25 00:00:00+00:00,70,25,0,0
2026-04-26 00:00:00+00:00,14,6,1,1
2026-04-27 00:00:00+00:00,33,10,0,0
2026-04-28 00:00:00+00:00,25,7,1,1
2026-04-29 00:00:00+00:00,29,8,0,0
2026-04-30 00:00:00+00:00,29,9,0,0
2026-05-01 00:00:00+00:00,23,7,0,0
2026-05-02 00:00:00+00:00,44,12,0,0
