time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-04 00:00:00+00:00,,,98,10
2024-07-05 00:00:00+00:00,,,17,5
2024-07-07 00:00:00+00:00,,,11,1
2024-07-08 00:00:00+00:00,2.0,2.0,61,6
2024-07-09 00:00:00+00:00,,,24,7
2024-07-10 00:00:00+00:00,5.0,2.0,50,11
2024-07-11 00:00:00+00:00,5.0,3.0,21,6
2024-07-12 00:00:00+00:00,4.0,1.0,10,4
2024-07-14 00:00:00+00:00,5.0,2.0,41,1
2024-07-15 00:00:00+00:00,6.0,1.0,8,4
2024-07-16 00:00:00+00:00,1.0,1.0,48,4
2024-07-17 00:00:00+00:00,3.0,2.0,5,3
