time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-16 00:00:00+00:00,,,101.0,1.0
2024-12-17 00:00:00+00:00,1.0,1.0,59.0,5.0
2024-12-18 00:00:00+00:00,2.0,2.0,144.0,3.0
2024-12-19 00:00:00+00:00,,,82.0,6.0
2024-12-20 00:00:00+00:00,7.0,4.0,94.0,5.0
2024-12-21 00:00:00+00:00,,,10.0,3.0
2024-12-22 00:00:00+00:00,2.0,2.0,,
2024-12-23 00:00:00+00:00,2.0,1.0,31.0,1.0
2024-12-24 00:00:00+00:00,3.0,1.0,31.0,2.0
2024-12-25 00:00:00+00:00,3.0,2.0,6.0,2.0
2024-12-26 00:00:00+00:00,2.0,1.0,25.0,3.0
2024-12-27 00:00:00+00:00,,,26.0,4.0
2024-12-28 00:00:00+00:00,1.0,1.0,22.0,3.0
