time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-07 00:00:00+00:00,2,2,4.0,3.0
2023-02-08 00:00:00+00:00,2,2,,
2023-02-09 00:00:00+00:00,2,2,4.0,1.0
2023-02-10 00:00:00+00:00,1,1,2.0,2.0
2023-02-11 00:00:00+00:00,13,3,,
2023-02-12 00:00:00+00:00,2,2,1.0,1.0
2023-02-13 00:00:00+00:00,2,2,2.0,2.0
2023-02-14 00:00:00+00:00,1,1,1.0,1.0
2023-02-15 00:00:00+00:00,1,1,,
2023-02-16 00:00:00+00:00,1,1,,
2023-02-17 00:00:00+00:00,1,1,,
2023-02-18 00:00:00+00:00,1,1,,
2023-02-19 00:00:00+00:00,1,1,1.0,1.0
2023-02-20 00:00:00+00:00,1,1,1.0,1.0
