time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-01 00:00:00+00:00,19,14,5.0,1.0
2025-03-02 00:00:00+00:00,7,4,,
2025-03-03 00:00:00+00:00,6,5,10.0,6.0
2025-03-04 00:00:00+00:00,9,7,13.0,4.0
2025-03-05 00:00:00+00:00,21,11,43.0,5.0
2025-03-06 00:00:00+00:00,8,4,11.0,5.0
2025-03-07 00:00:00+00:00,7,4,8.0,2.0
2025-03-08 00:00:00+00:00,8,5,58.0,2.0
2025-03-09 00:00:00+00:00,6,3,6.0,1.0
2025-03-10 00:00:00+00:00,12,6,19.0,3.0
2025-03-11 00:00:00+00:00,3,3,15.0,4.0
2025-03-12 00:00:00+00:00,1,1,3.0,3.0
2025-03-13 00:00:00+00:00,6,4,5.0,2.0
2025-03-14 00:00:00+00:00,1,1,3.0,3.0
