referrer,views_total,views_unique
nature.com,31,6
github.com,10,6
forum.image.sc,9,6
Bing,6,5
Google,6,4
ieeexplore.ieee.org,5,1
data.mendeley.com,3,2
onlinelibrary.wiley.com,1,1
imagej.net,1,1
statics.teams.cdn.office.net,1,1
