time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-29 00:00:00+00:00,6.0,3.0,52.0,11.0
2024-04-30 00:00:00+00:00,1.0,1.0,5.0,2.0
2024-05-01 00:00:00+00:00,1.0,1.0,10.0,5.0
2024-05-02 00:00:00+00:00,1.0,1.0,76.0,8.0
2024-05-03 00:00:00+00:00,5.0,5.0,151.0,6.0
2024-05-04 00:00:00+00:00,6.0,3.0,,
2024-05-05 00:00:00+00:00,4.0,4.0,46.0,5.0
2024-05-06 00:00:00+00:00,12.0,7.0,85.0,3.0
2024-05-07 00:00:00+00:00,5.0,2.0,3.0,3.0
2024-05-08 00:00:00+00:00,1.0,1.0,30.0,2.0
2024-05-09 00:00:00+00:00,1.0,1.0,45.0,6.0
2024-05-10 00:00:00+00:00,2.0,2.0,1.0,1.0
2024-05-11 00:00:00+00:00,1.0,1.0,5.0,1.0
2024-05-12 00:00:00+00:00,,,35.0,4.0
